"","X","CaseOrder","Customer_id","Interaction","City","State","County","Zip","Lat","Lng","Population","Area","Timezone","Job","Children","Age","Education","Employment","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","item1","item2","item3","item4","item5","item6","item7","item8"
"8831",8831,8831,"S812132","5f3ba2a1-a4d2-4074-a139-98812098936d","Holly Grove","AR","Monroe",72069,34.53481,-91.13088,1148,"Rural","America/Chicago","Field trials officer",2,53.2995298858294,"Regular High School Diploma","Retired",186156.6,"Divorced","Male","No",13.24887,13,0,1,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",65.66957,255.9126,6174.944,4,4,3,3,3,5,4,2
"8913",8913,8913,"T474901","fd94d234-1212-4da0-9008-7f4a8cd3adfe","Viola","ID","Latah",83872,46.86214,-116.9701,563,"Urban","America/Los_Angeles","Broadcast engineer",0,48,"Associate's Degree","Unemployed",140110,"Never Married","Male","No",5.645429,17,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Mailed Check",65.90545,168.7243,5645.996,2,2,2,3,4,3,3,3
"8969",8969,8969,"L599723","48c02b0c-fc59-405d-8586-271ce35c6aa4","Morral","OH","Marion",43337,40.68201,-83.24151,1149,"Rural","America/New_York","Psychotherapist, dance movement",0,55,"No Schooling Completed","Full Time",137687.4,"Married","Male","Yes",18.04267,8,3,0,"No","Month-to-month","No","Yes","Fiber Optic","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Electronic Check",54.14398,273.9666,5171.048,5,5,5,2,4,3,4,3
"9033",9033,9033,"V483573","9fffc5e0-0ae1-4bbe-b050-3b9f9a494f47","Dowagiac","MI","Cass",49047,42.00404,-86.12198,14693,"Suburban","America/Detroit","Development worker, international aid",1,78,"Bachelor's Degree","Part Time",160216.1,"Married","Female","No",37.91783,15,1,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","No","No","Yes","No","Yes","No","Bank Transfer(automatic)",61.97321,190.8359,5251.723,3,4,3,5,2,5,4,5
"9078",9078,9078,"S144940","4526127f-1afe-49ed-9d02-5cc7646510e5","Memphis","TN","Shelby",38119,35.07978,-89.84589,22947,"Suburban","America/Chicago","Advertising copywriter",1,42,"Bachelor's Degree","Unemployed",142119.3,"Widowed","Male","No",9.593937,12,1,0,"No","One year","Yes","Yes","Fiber Optic","Yes","No","No","No","No","Yes","Yes","No","No","Credit Card (automatic)",64.71742,148.8925,5694.946,6,5,5,2,5,4,4,4
"9158",9158,9158,"D01059","fa97e226-e1d2-411b-bbde-4da350d5e012","Hancock","WI","Waushara",54943,44.12528,-89.5836,1947,"Rural","America/Chicago","Broadcast engineer",1,28,"GED or Alternative Credential","Unemployed",158549.3,"Never Married","Female","No",11.40835,9,1,0,"No","Month-to-month","Yes","No","None","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Bank Transfer(automatic)",62.97217,165.2997,5676.644,4,4,2,4,3,4,5,4
"9234",9234,9234,"X801505","387019b6-369f-4237-a396-811f44194fb8","Austin","TX","Travis",78724,30.2944,-97.61415,24779,"Urban","America/Chicago","Public librarian",2,35,"Regular High School Diploma","Student",163082.1,"Separated","Female","No",11.71308,6,0,1,"No","One year","Yes","No","Fiber Optic","Yes","No","No","Yes","No","Yes","No","Yes","No","Bank Transfer(automatic)",58.94313,182.9642,5193.998,3,3,3,2,6,3,4,5
"9250",9250,9250,"G610690","38062757-e327-4ef9-8778-a31b00bd731c","Hughes","AK","Yukon-Koyukuk",99745,66.04305,-154.2477,90,"Urban","America/Anchorage","Surveyor, commercial/residential",1,68,"Some College, 1 or More Years, No Degree","Full Time",173978,"Divorced","Male","Yes",9.771641,10,1,0,"Yes","Month-to-month","No","No","DSL","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Electronic Check",66.50393,222.072,6605.855,4,3,2,2,3,3,3,3
"9429",9429,9429,"S433497","1468516a-9420-479a-8a75-499863771bd8","Simonton","TX","Fort Bend",77476,29.67245,-95.98326,187,"Rural","America/Chicago","Plant breeder/geneticist",3,61,"9th Grade to 12th Grade, No Diploma","Retired",134967.2,"Divorced","Female","No",16.17457,17,1,0,"No","Month-to-month","Yes","Yes","DSL","No","Yes","No","No","No","Yes","No","Yes","No","Electronic Check",59.1561,173.7614,5548.443,3,3,3,3,4,3,4,3
"9616",9616,9616,"X447899","6fb07a81-0fa0-4484-ae02-81a76506696c","Queen City","TX","Cass",75572,33.23153,-94.13216,4173,"Urban","America/Chicago","Agricultural consultant",3,40,"Regular High School Diploma","Full Time",130319.3,"Widowed","Female","Yes",6.254019,9,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",61.57299,221.8752,5702.684,3,4,2,2,5,3,4,3
"9657",9657,9657,"T234307","8ce025a0-86b1-4e33-9c97-f9c8408e7689","Guernsey","IA","Poweshiek",52221,41.64197,-92.33228,232,"Suburban","America/Chicago","Research scientist (life sciences)",2,76,"Regular High School Diploma","Full Time",136818.5,"Divorced","Female","No",16.63176,6,0,0,"No","Month-to-month","No","No","DSL","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Electronic Check",69.34207,202.9635,6603.944,3,4,4,2,3,4,4,4
"9850",9850,9850,"C406267","5fae818b-cdcb-452e-bb5a-c9dc04ed9383","Laporte","CO","Larimer",80535,40.73342,-105.1835,2613,"Urban","America/Denver","Dancer",1,53.2995298858294,"9th Grade to 12th Grade, No Diploma","Student",134443.3,"Married","Female","No",5.518844,11,0,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","No","No","Electronic Check",53.20557,143.2536,4516.883,4,4,4,2,5,3,3,4
